,MMM,Prediction MMM
2019-04-15,215.83,
2019-04-16,216.9,
2019-04-17,217.64,
2019-04-18,218.88,
2019-04-22,218.54,
2019-04-23,219.5,
2019-04-24,219.08,
2019-04-25,190.72,
2019-04-26,191.67,
2019-04-29,190.21,
2019-04-30,189.51,
2019-05-01,186.07,
2019-05-02,184.75,
2019-05-03,185.22,
2019-05-06,183.04,
2019-05-07,179.12,
2019-05-08,178.59,
2019-05-09,175.28,
2019-05-10,175.86,
2019-05-13,174.07,
2019-05-14,175.21,
2019-05-15,174.12,
2019-05-16,171.81,
2019-05-17,169.09,
2019-05-20,166.25,
2019-05-21,167.3,
2019-05-22,169.74,
2019-05-23,165.87,
2019-05-24,166.09,
2019-05-28,163.35,
2019-05-29,161.4,
2019-05-30,160.58,
2019-05-31,159.75,
2019-06-03,160.04,
2019-06-04,164.29,
2019-06-05,163.85,
2019-06-06,164.72,
2019-06-07,166.61,
2019-06-10,168.29,
2019-06-11,168.91,
2019-06-12,169.01,
2019-06-13,168.85,
2019-06-14,166.69,
2019-06-17,166.78,
2019-06-18,171.86,
2019-06-19,170.75,
2019-06-20,173.94,
2019-06-21,173.35,
2019-06-24,173.38,
2019-06-25,172.03,
2019-06-26,171.88,
2019-06-27,171.5,
2019-06-28,173.34,
2019-07-01,174.51,
2019-07-02,174.02,
2019-07-03,174.98,
2019-07-05,172.0,
2019-07-08,169.19,
2019-07-09,165.7,
2019-07-10,165.7,
2019-07-11,169.04,
2019-07-12,173.34,
2019-07-15,172.84,
2019-07-16,176.49,
2019-07-17,174.67,
2019-07-18,173.06,
2019-07-19,172.61,
2019-07-22,174.64,
2019-07-23,177.52,
2019-07-24,179.42,
2019-07-25,178.13,
2019-07-26,173.98,
2019-07-29,176.76,
2019-07-30,177.63,
2019-07-31,174.72,
2019-08-01,173.36,
2019-08-02,170.55,
2019-08-05,164.71,
2019-08-06,163.71,
2019-08-07,163.64,
2019-08-08,164.22,
2019-08-09,163.47,
2019-08-12,162.1,
2019-08-13,164.88,
2019-08-14,158.81,
2019-08-15,156.84,
2019-08-16,161.5,
2019-08-19,162.95,
2019-08-20,161.01,
2019-08-21,161.15,
2019-08-22,160.88,
2019-08-23,155.85,
2019-08-26,156.12,
2019-08-27,155.75,
2019-08-28,157.55,
2019-08-29,160.36,
2019-08-30,161.72,
2019-09-03,158.64,
2019-09-04,160.07,
2019-09-05,164.23,
2019-09-06,163.94,
2019-09-09,165.94,
2019-09-10,168.86,
2019-09-11,168.08,
2019-09-12,170.58,
2019-09-13,171.44,
2019-09-16,169.67,
2019-09-17,168.07,
2019-09-18,167.44,
2019-09-19,167.07,
2019-09-20,166.76,
2019-09-23,166.76,
2019-09-24,164.74,
2019-09-25,164.0,
2019-09-26,163.83,
2019-09-27,164.53,
2019-09-30,164.4,
2019-10-01,158.38,
2019-10-02,155.65,
2019-10-03,155.23,
2019-10-04,155.82,
2019-10-07,153.52,
2019-10-08,150.74,
2019-10-09,150.99,
2019-10-10,152.31,
2019-10-11,158.1,
2019-10-14,160.51,
2019-10-15,162.98,
2019-10-16,162.18,
2019-10-17,163.54,
2019-10-18,163.1,
2019-10-21,165.94,
2019-10-22,167.54,
2019-10-23,168.76,
2019-10-24,161.89,
2019-10-25,166.09,
2019-10-28,169.06,
2019-10-29,168.81,
2019-10-30,168.37,
2019-10-31,164.99,
2019-11-01,170.09,
2019-11-04,174.9,
2019-11-05,175.27,
2019-11-06,174.0,
2019-11-07,174.52,
2019-11-08,173.15,
2019-11-11,170.11,
2019-11-12,170.84,
2019-11-13,170.55,
2019-11-14,170.93,
2019-11-15,171.88,
2019-11-18,170.54,
2019-11-19,170.68,
2019-11-20,167.77,
2019-11-21,165.14,
2019-11-22,167.6,
2019-11-25,170.24,
2019-11-26,169.23,
2019-11-27,170.61,
2019-11-29,169.77,
2019-12-02,168.27,
2019-12-03,165.17,
2019-12-04,167.14,
2019-12-05,164.37,
2019-12-06,171.47,
2019-12-09,169.83,
2019-12-10,167.66,
2019-12-11,168.74,
2019-12-12,168.56,
2019-12-13,168.79,
2019-12-16,170.75,
2019-12-17,169.93,
2019-12-18,169.03,
2019-12-19,172.15,
2019-12-20,175.37,
2019-12-23,178.47,
2019-12-24,176.68,
2019-12-26,176.59,
2019-12-27,177.26,
2019-12-30,175.83,
2019-12-31,176.42,
2020-01-02,180.0,
2020-01-03,178.45,
2020-01-06,178.62,
2020-01-07,177.9,
2020-01-08,180.63,
2020-01-09,181.2,
2020-01-10,180.47,
2020-01-13,180.92,
2020-01-14,181.37,
2020-01-15,179.78,
2020-01-16,181.01,
2020-01-17,181.35,
2020-01-21,179.39,
2020-01-22,178.03,
2020-01-23,177.74,
2020-01-24,178.15,
2020-01-27,175.63,
2020-01-28,165.58,
2020-01-29,162.0,
2020-01-30,162.51,
2020-01-31,158.66,
2020-02-03,156.59,
2020-02-04,157.24,
2020-02-05,162.33,
2020-02-06,162.89,
2020-02-07,160.08,
2020-02-10,160.15,
2020-02-11,162.45,
2020-02-12,163.8,
2020-02-13,159.76,
2020-02-14,161.01,
2020-02-18,158.88,
2020-02-19,159.34,
2020-02-20,158.56,
2020-02-21,156.93,
2020-02-24,152.55,
2020-02-25,146.85,
2020-02-26,148.96,
2020-02-27,150.16,
2020-02-28,149.24,
2020-03-02,153.02,
2020-03-03,145.24,
2020-03-04,153.98,
2020-03-05,151.41,
2020-03-06,153.65,
2020-03-09,144.06,
2020-03-10,153.3,
2020-03-11,147.24,
2020-03-12,133.58,
2020-03-13,141.68,
2020-03-16,130.91,
2020-03-17,134.44,
2020-03-18,137.02,
2020-03-19,137.51,
2020-03-20,124.89,
2020-03-23,117.87,
2020-03-24,132.72,
2020-03-25,131.54,
2020-03-26,136.18,
2020-03-27,133.24,
2020-03-30,137.74,
2020-03-31,136.51,
2020-04-01,133.14,
2020-04-02,137.91,
2020-04-03,133.79,
2020-04-06,140.7,
2020-04-07,144.6,
2020-04-08,148.99,
2020-04-09,147.78,
